query_id,query,nDCG_finetuned,nDCG_bm25,nDCG_congelado,mejor_baseline,delta_vs_mejor_baseline
1924,120 luces sin cables exterior,0.7542686714597937,0.7065443116025598,0.7162874455029682,0.7162874455029682,0.037981225956825515
1955,128gb ram ddr4,1.0,1.0,0.7605591431973849,1.0,0.0
1959,128x90 soporte para fotos cuadro sin borde,0.38685280723454163,0.31546487678572877,0.0,0.31546487678572877,0.07138793044881286
1982,12v electrovalvula programable para agua sin presión,0.2601000397495698,0.06794340091829076,0.1386991616393714,0.1386991616393714,0.1214008781101984
1983,12v electrovalvula sin presión,1.0,1.0,1.0,1.0,0.0
2027,13 cosas sin sentido,1.0,1.0,1.0,1.0,0.0
2059,135 x 190 somier sin patas,0.7849818707050383,0.5321408435198609,0.5590796706691327,0.5590796706691327,0.22590220003590566
2107,140x230 estor beige sin taladrar,0.3026024134988135,0.1909208661789347,0.13032376591037065,0.1909208661789347,0.11168154731987881
2112,144 preservativos sin latex,0.8357804136936722,0.77523873680463,0.7778721720600673,0.7778721720600673,0.05790824163360486
2115,144hz sin bordes,0.8643145546088339,0.3557772116892466,0.44903378752009254,0.44903378752009254,0.41528076708874134
2135,14mm bolas redondas sin agujero colores,0.6366824387328317,0.312706129752478,0.5294362295028773,0.5294362295028773,0.10724620922995443
2177,15 x 21 sin marco,0.975788054854922,0.7227265726449519,0.5548441015591575,0.7227265726449519,0.25306148220997016
2181,"15, bluetooth led sin enchufe",0.4678747406062546,0.18546617562553347,0.5959934864972766,0.5959934864972766,-0.12811874589102196
2195,150 juegos para jugar sin pantallas,0.8503449055347546,0.8315546295836225,0.8503449055347546,0.8503449055347546,0.0
2210,15m tiras led sin transformador,1.0,0.4673791184803735,0.37960256558331523,0.4673791184803735,0.5326208815196265
2213,15x20 sin moldura,0.7967610662472993,0.6804503724350792,0.7059054020403313,0.7059054020403313,0.090855664206968
2224,16 etiquetas sin margen,1.0,1.0,0.6309297535714575,1.0,0.0
2240,16 mm manguera sin gotero,0.7909506325094736,0.7125523635307983,0.7753366239771086,0.7753366239771086,0.015614008532365053
2248,16 piezas cuberteria dorada sin cuchara pequeña,0.0,0.0,0.43067655807339306,0.43067655807339306,-0.43067655807339306
2270,16mm sony full frame sin espejo,0.6366824387328317,0.33424620450682646,0.4428328130831785,0.4428328130831785,0.1938496256496532
2425,1esmalte sin pack semipermanente,0.6149518506608848,0.4729327934832576,0.5224955967919311,0.5224955967919311,0.09245625386895362
2430,1l+1l gel sin jabon,0.6399441431116328,0.7065632165480473,0.6154062275862391,0.7065632165480473,-0.06661907343641449
2456,1tanga sin costuras mujer,0.9363792118010483,0.6320787427864673,0.88995411685096,0.88995411685096,0.046425094950088286
2460,1tb ssd nvme m.2 pcie 4.0 sin disipador térmico,0.9558295932317544,0.8421423592553552,0.9279611693743142,0.9279611693743142,0.02786842385744026
2467,1x cat 7a conector de red rj45 sin herramientas,0.6216966993238303,0.476846588700353,0.4381081808305046,0.476846588700353,0.1448501106234773
2472,1´5l sin lactosa,0.36181498356361597,0.44130740935663865,0.6240505200038379,0.6240505200038379,-0.2622355364402219
2498,2 0 hdmi switch sin mando,0.38820476264318793,0.510069131458292,0.5330752584449809,0.5330752584449809,-0.144870495801793
2511,2 barra para utensilios cocina negro sin perforar,0.5868720866710774,0.7183424120903082,0.5270672065167424,0.7183424120903082,-0.13147032541923087
2512,2 barras para utensilios cocina negro sin perforar,0.37259075411082276,0.7026305163854646,0.6067216003536937,0.7026305163854646,-0.3300397622746418
2516,2 bombillas sin casquillo led,0.5887498202463202,0.5996943318813954,0.47479014188018465,0.5996943318813954,-0.01094451163507526
2521,2 cepillso electricso sin cargador,0.571614567891588,0.2726701556894781,0.6429235234036081,0.6429235234036081,-0.0713089555120201
2525,2 cojines sofa sin relleno lisos alargados,0.38820476264318793,0.23440650992329992,0.5220328596374271,0.5220328596374271,-0.13382809699423914
2528,2 cuchillos csgo sin filo,0.7909506325094736,0.571614567891588,0.9148568823583791,0.9148568823583791,-0.12390624984890553
2539,2 enchufes y 1 interruptor pared sin empotrar,0.35805441083232703,0.17342765698823948,0.17437146561008365,0.17437146561008365,0.18368294522224338
2544,2 fundas silla sin brazos,1.0,1.0,0.92663607790064,1.0,0.0
2584,2 lamparas de mesita de noche sin cable,0.7721596254947204,0.7084409501232901,0.6163668470816235,0.7084409501232901,0.06371867537143028
2593,2 lámparas mesita sin enchufes,0.7125523635307983,0.5847192329112589,0.5321408435198609,0.5847192329112589,0.12783313061953938
2649,2 porterias de fútbol sin balón,0.7573821447149967,0.2583297509898471,0.4544793712758927,0.4544793712758927,0.30290277343910393
2677,2 tapa microondas sin bpa antisalpicaduras,0.8482378089219648,0.9305687780632229,0.92663607790064,0.9305687780632229,-0.08233096914125815
2678,2 tazones ramen sin cucharas,0.49075483234705974,0.35674803589637066,0.07834851647149513,0.35674803589637066,0.13400679645068908
2691,2 tomas sin cable vertical,0.3391602052736161,0.3391602052736161,0.44615333764087994,0.44615333764087994,-0.10699313236726382
2694,2 utp cat 6a sin herramientas,0.8415908474314977,0.9052116356304495,0.713654010247531,0.9052116356304495,-0.06362078819895178
2769,20 clips de pelo sin pliegue,1.0,0.9337457765456111,0.9337457765456111,0.9337457765456111,0.06625422345438892
